UserLanguage,SQ 1 ,SQ 2,SQ 3,SQ 3_16_TEXT,SQ 4 ,SQ 5,Q 1.3,Q 1.4_1,Q 1.4_2,Q 1.4_3,Q 1.4_4,Q 1.4_5,Q 1.4_5_TEXT,Q 1.5,Q 2.1,Q 2.1_1_TEXT,Q 2.1_2_TEXT,Q 2.1_3_TEXT,Q 2.1_4_TEXT,Q 2.2,Q 2.3,Q 2.4,Q 2.5,Q 2.6,Q 2.6_1_TEXT,Q 2.6_2_TEXT,Q 3.2,Q 3.3,Q 3.4,Q 3.4_4_TEXT,Q 3.5,Q 3.5_12_TEXT,Q 3.6,Q 3.6_5_TEXT,Q 3.7,Q 4.1,Q 4.2,Q 4.3,Q 4.3_6_TEXT,Q 4.4,Q 4.4_12_TEXT,Q 4.5,Q 4.5_10_TEXT,Q 4.6,Q 4.7,Q 4.8,Q 4.9_1,Q 4.9_2,Q 4.9_3,Q 4.9_4,Q 4.9_5,Q 4.9_6,Q 4.9_7,Q 4.9_7_TEXT,Q 4.10,Q 4.10_5_TEXT,Q 4.11_1,Q 4.11_2,Q 4.12,Q 4.13,Q 4.13_10_TEXT,Q 4.14,Q 4.14_6_TEXT,Q 4.15,Q 4.15_8_TEXT,,,,,,,,psid
User Language,Which of the following best describes your employment status?,Which of the following best describes the industry segment of the company/organization for which you work?,"Which of the following categories best describes the primary activities of your workplace?

(You may select up to three options) - Selected Choice","Which of the following categories best describes the primary activities of your workplace?

(You may select up to three options) - Other: - Text",Which best describes your current level in your organization?,"Is background music played at the place where you work?

(This refers to music played in areas used by customers, and not, for example, in a restaurant’s kitchen)",How long have you been working at your current workplace?,"What type of work do you mainly do (e.g., Kitchen, Service, Room, Bar, Other), and what is your level of autonomy (High, Medium, Low)?

(If you perform more than one task, please refer to the most important one.) - Kitchen","What type of work do you mainly do (e.g., Kitchen, Service, Room, Bar, Other), and what is your level of autonomy (High, Medium, Low)?

(If you perform more than one task, please refer to the most important one.) - Service","What type of work do you mainly do (e.g., Kitchen, Service, Room, Bar, Other), and what is your level of autonomy (High, Medium, Low)?

(If you perform more than one task, please refer to the most important one.) - Room","What type of work do you mainly do (e.g., Kitchen, Service, Room, Bar, Other), and what is your level of autonomy (High, Medium, Low)?

(If you perform more than one task, please refer to the most important one.) - Bar","What type of work do you mainly do (e.g., Kitchen, Service, Room, Bar, Other), and what is your level of autonomy (High, Medium, Low)?

(If you perform more than one task, please refer to the most important one.) - Other","What type of work do you mainly do (e.g., Kitchen, Service, Room, Bar, Other), and what is your level of autonomy (High, Medium, Low)?

(If you perform more than one task, please refer to the most important one.) - Other - Text",Is the place you work family-run?,"What is the capacity of the place where you work?

Please, choose the most relevant measure for the type of business: - Selected Choice","What is the capacity of the place where you work?

Please, choose the most relevant measure for the type of business: - Maximum capacity in number of persons - Text","What is the capacity of the place where you work?

Please, choose the most relevant measure for the type of business: - Number of tables - Text","What is the capacity of the place where you work?

Please, choose the most relevant measure for the type of business: - Number of rooms - Text","What is the capacity of the place where you work?

Please, choose the most relevant measure for the type of business: - Squared meters - Text",How many full-time employees work at your workplace?,"What is the size of the business you work for, in terms of annual revenues?",What is the population of city where you work?,"On which days is the venue where you work usually open?

(Select all that apply)","On an average day, what are the opening and closing times of the venue where you work? - Selected Choice","On an average day, what are the opening and closing times of the venue where you work? - Opening time - Text","On an average day, what are the opening and closing times of the venue where you work? - Closing time - Text","How many days per month is background music typically played at the venue where you work?

(This refers to music played in areas used by customers, and not, for example, in a restaurant’s kitchen)","Is the music played at the place where you work considered a distinctive feature of the venue?

(This refers to music played in areas used by customers, and not, for example, in a restaurant’s kitchen)","How is the music selected at the place where you work?

(This refers to music played in areas used by customers, and not, for example, in a restaurant’s kitchen) - Selected Choice","How is the music selected at the place where you work?

(This refers to music played in areas used by customers, and not, for example, in a restaurant’s kitchen) - Other (please specify) - Text","What music genres are played at the venue where you work? Select up to 4 genres

(This refers to music played in areas used by customers, and not, for example, in a restaurant’s kitchen)

Select up to 4 genres - Selected Choice","What music genres are played at the venue where you work? Select up to 4 genres

(This refers to music played in areas used by customers, and not, for example, in a restaurant’s kitchen)

Select up to 4 genres - Other (please specify) - Text","How is background music provided at the venue where you work?

(This refers to music played in areas used by customers, and not, for example, in a restaurant’s kitchen) - Selected Choice","How is background music provided at the venue where you work?

(This refers to music played in areas used by customers, and not, for example, in a restaurant’s kitchen) - Other (please specify) - Text",Does the venue you work pay a license to play music for customers?,"Does the venue where you work organize live music events (e.g. live concerts, gigs, dj set)?",How frequently have live music performances taken place at the venue in the past 12 months?,"What types of live music performances have taken place at your workplace in the past 12 months?

(Please select up to three options) - Selected Choice","What types of live music performances have taken place at your workplace in the past 12 months?

(Please select up to three options) - Other (please specify) - Text","Which genres of music have been played live at the venue where you work in the past 12 months?

(Please select up to 4 genres) - Selected Choice","Which genres of music have been played live at the venue where you work in the past 12 months?

(Please select up to 4 genres) - Other (please specify) - Text",What is the typical capacity of the venue during live music performances? - Selected Choice,What is the typical capacity of the venue during live music performances? - Over 200 people (please specify) - Text,"Over the past year, has the number of live music performances at your workplace:",By how much has the number of live music performances at your workplace decreased over the past year?,By how much has the number of live music performances at your workplace increased over the past year?,"If your workplace provides fewer live music performances now compared to a year ago, please rank the following reasons in order of importance (1 = most important, 6 = least important):

(Drag the choices in the right order) - Budget constraints / Higher costs","If your workplace provides fewer live music performances now compared to a year ago, please rank the following reasons in order of importance (1 = most important, 6 = least important):

(Drag the choices in the right order) - Lower customer demand","If your workplace provides fewer live music performances now compared to a year ago, please rank the following reasons in order of importance (1 = most important, 6 = least important):

(Drag the choices in the right order) - Noise complaints","If your workplace provides fewer live music performances now compared to a year ago, please rank the following reasons in order of importance (1 = most important, 6 = least important):

(Drag the choices in the right order) - Legal restrictions","If your workplace provides fewer live music performances now compared to a year ago, please rank the following reasons in order of importance (1 = most important, 6 = least important):

(Drag the choices in the right order) - Staffing or logistical challenges","If your workplace provides fewer live music performances now compared to a year ago, please rank the following reasons in order of importance (1 = most important, 6 = least important):

(Drag the choices in the right order) - Changes in business focus or management priorities","If your workplace provides fewer live music performances now compared to a year ago, please rank the following reasons in order of importance (1 = most important, 6 = least important):

(Drag the choices in the right order) - other (specify)","If your workplace provides fewer live music performances now compared to a year ago, please rank the following reasons in order of importance (1 = most important, 6 = least important):

(Drag the choices in the right order) - other (specify) - Text",How are live music events at your workplace typically financed? - Selected Choice,How are live music events at your workplace typically financed? - Other (specify) - Text,What are the minimum and maximum ticket prices for live performances at your workplace? - Minimum price (euro):,What are the minimum and maximum ticket prices for live performances at your workplace? - Maximum price (euro):,"How does revenue at your workplace typically change on nights with live music compared to nights without live music?

(Please select one)",What is the main motivation at your workplace for organizing live music events? - Selected Choice,What is the main motivation at your workplace for organizing live music events? - Other (specify) - Text,"What are the main sources of revenue from live music events at your workplace?

(Select up to three sources) - Selected Choice","What are the main sources of revenue from live music events at your workplace?

(Select up to three sources) - Other (specify) - Text","What are the biggest challenges of hosting live music at your workplace?

(Select all that apply) - Selected Choice","What are the biggest challenges of hosting live music at your workplace?

(Select all that apply) - Other (please specify) - Text",,,,,,,,psid
"{""ImportId"":""userLanguage""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_16_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID9""}","{""ImportId"":""QID51""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_5_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_1_TEXT""}","{""ImportId"":""QID50_2_TEXT""}","{""ImportId"":""QID50_3_TEXT""}","{""ImportId"":""QID50_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID8""}","{""ImportId"":""QID38""}","{""ImportId"":""QID7""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_1_TEXT""}","{""ImportId"":""QID39_2_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_4_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_12_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_6_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_12_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_10_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID53""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_7""}","{""ImportId"":""QID19_7_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_5_TEXT""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_10_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_6_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_8_TEXT""}",,,,,,,,
IT,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN,Full-time (30 or more hours per week),Property / Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Street food vendors and food trucks",,Owner / Partner,Yes,6 months to 1 year,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,Yes,Maximum capacity in number of persons,150,,,,2 persons,€1 million – €5 million,"20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Opening time,Closing time",9,9,"Most days,About half the month",Yes,Randomly selected or played by chance,,"Rock,Dance / Electronic,Latin",,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.),Radio (FM, AM or internet radio) or TV",,Yes,Yes,1-2 times a week,"DJ sessions,Classical ensembles",,"Hip-Hop / Rap,Latin",,101–150 people,,Increased,,Increased by 25% to 50%,,,,,,,,,Free for the guests,,,,Increases slightly,Customer retention,,"Increased food and beverage sales,Merchandise sales",,"Licensing and regulation costs,Difficulty attracting audiences",,,,,,,,,
IT,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
